Date,Site,Logger,WNStime,Season,WNSWinters,Ct,Pd,Type,slope,intercept,logDNA,x,z,Tmean,Tmedian,Tsd,Tmin,Tmax,Trange
8/7/12,1,221,0,Summer,0,0,0,swab,-3.234,36.902,0,305.98,3,NA,NA,NA,NA,NA,NA
8/7/12,1,222,0,Summer,0,0,0,swab,-3.234,36.902,0,309.5,3.05,10.001,10.001,0,10.001,10.001,0
8/7/12,1,223,0,Summer,0,0,0,sediment,-3.432,37.741,0,311.46,0,10.008,10.008,0,10.008,10.008,0
8/7/12,1,223,0,Summer,0,0,0,swab,-3.234,36.902,0,311.46,2.46,10.008,10.008,0,10.008,10.008,0
8/7/12,1,224,0,Summer,0,0,0,sediment,-3.432,37.741,0,303.24,0,NA,NA,NA,NA,NA,NA
8/7/12,1,225,0,Summer,0,0,0,sediment,-3.432,37.741,0,307.35,0,NA,NA,NA,NA,NA,NA
8/7/12,1,301,0,Summer,0,0,0,swab,-3.234,36.902,0,358,0.74,NA,NA,NA,NA,NA,NA
8/7/12,1,302,0,Summer,0,0,0,swab,-3.234,36.902,0,360.6,2.85,NA,NA,NA,NA,NA,NA
8/7/12,1,303,0,Summer,0,0,0,swab,-3.234,36.902,0,363.2,1.02,NA,NA,NA,NA,NA,NA
8/7/12,1,304,0,Summer,0,0,0,swab,-3.234,36.902,0,365.8,2.82,10.086,10.086,0,10.086,10.086,0
8/7/12,1,305,0,Summer,0,0,0,swab,-3.234,36.902,0,368.4,1.14,NA,NA,NA,NA,NA,NA
8/7/12,1,306,0,Summer,0,0,0,swab,-3.234,36.902,0,371,2.8,10.069,10.069,0,10.069,10.069,0
8/7/12,1,307,0,Summer,0,0,0,swab,-3.234,36.902,0,373.6,1.03,10.089,10.089,0,10.089,10.089,0
8/7/12,1,308,0,Summer,0,0,0,swab,-3.234,36.902,0,376.2,2.16,NA,NA,NA,NA,NA,NA
8/7/12,1,309,0,Summer,0,0,0,swab,-3.234,36.902,0,378.8,0.82,NA,NA,NA,NA,NA,NA
8/7/12,1,310,0,Summer,0,0,0,swab,-3.234,36.902,0,358,0.6,NA,NA,NA,NA,NA,NA
8/7/12,1,311,0,Summer,0,0,0,swab,-3.234,36.902,0,360.6,2.24,10.019,10.019,0,10.019,10.019,0
8/7/12,1,312,0,Summer,0,0,0,swab,-3.234,36.902,0,363.2,1.1,NA,NA,NA,NA,NA,NA
8/7/12,1,313,0,Summer,0,0,0,swab,-3.234,36.902,0,365.8,2.1,NA,NA,NA,NA,NA,NA
8/7/12,1,314,0,Summer,0,0,0,swab,-3.234,36.902,0,368.4,1.2,10.07,10.07,0,10.07,10.07,0
8/7/12,1,315,0,Summer,0,0,0,swab,-3.234,36.902,0,371,2.12,NA,NA,NA,NA,NA,NA
8/7/12,1,316,0,Summer,0,0,0,swab,-3.234,36.902,0,373.6,0.25,NA,NA,NA,NA,NA,NA
8/7/12,1,317,0,Summer,0,0,0,swab,-3.234,36.902,0,376.2,2.11,10.061,10.061,0,10.061,10.061,0
8/7/12,1,318,0,Summer,0,0,0,swab,-3.234,36.902,0,378.8,1,10.10666667,10.086,0.03579572,10.086,10.148,0.062
